Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Azerbaijan,AZE,2032179.0,2098313.0,2167450.0,2237823.0,2307098.0,2373550.0,2436505.0,2496187.0,2552920.0,2607373.0,2660113.0,2711182.0,2760491.0,2808387.0,2855316.0,2901650.0,2947596.0,2993373.0,3039451.0,3086335.0,3134437.0,3183850.0,3234620.0,3287046.0,3341475.0,3398046.0,3456738.0,3517174.0,3578679.0,3640331.0,3658511.0,3717185.0,3775018.0,3833601.0,3886367.0,3931828.0,3972111.0,4010796.0,4048629.0,4082756.0,4113396.0,4140707.0,4165639.0,4190433.0,4220361.0,4257347.0,4298747.0,4342781.0,4430364.0,4518847.0,4568408.0,4623725.0,4681041.0,4737682.0,4793328.0,4847488.0,4899330.0,4945555.0,4988255.0
Burundi,BDI,1447335.0,1474470.0,1501795.0,1530228.0,1561066.0,1595061.0,1633102.0,1674507.0,1716524.0,1755384.0,1788619.0,1815026.0,1836089.0,1855240.0,1877405.0,1906145.0,1942593.0,1985776.0,2034596.0,2087128.0,2141904.0,2198567.0,2257458.0,2318481.0,2381658.0,2446860.0,2513762.0,2581763.0,2650083.0,2717760.0,2783944.0,2849399.0,2913964.0,2974980.0,3028943.0,3073997.0,3108591.0,3135291.0,3161403.0,3196875.0,3248883.0,3320060.0,3408565.0,3511570.0,3624268.0,3742964.0,3867317.0,3998091.0,4133959.0,4273437.0,4415482.0,4559180.0,4704552.0,4852732.0,5005485.0,5164052.0,5328704.0,5498802.0,5673547.0
Belgium,BEL,4649965.0,4666854.0,4687136.0,4724146.0,4770961.0,4816344.0,4850759.0,4879547.0,4900485.0,4916162.0,4922923.0,4933960.0,4955462.0,4973208.0,4990837.0,5006958.0,5017268.0,5024527.0,5029994.0,5035067.0,5040981.0,5041036.0,5039669.0,5039089.0,5038622.0,5039540.0,5040539.0,5043872.0,5058896.0,5076328.0,5090672.0,5108986.0,5129278.0,5149004.0,5164627.0,5175217.0,5185158.0,5197588.0,5208451.0,5219839.0,5231510.0,5248012.0,5269639.0,5289562.0,5310399.0,5337874.0,5371630.0,5409812.0,5451562.0,5494806.0,5544815.0,5617629.0,5653220.0,5680037.0,5703575.0,5732314.0,5753877.0,5765986.0,5778544.0
Benin,BEN,1274969.0,1291362.0,1309214.0,1328599.0,1349638.0,1372416.0,1396974.0,1423291.0,1451276.0,1480816.0,1511843.0,1544340.0,1578387.0,1614133.0,1651784.0,1691501.0,1733376.0,1777412.0,1823575.0,1871771.0,1921979.0,1974304.0,2028876.0,2085679.0,2144677.0,2205924.0,2269185.0,2334650.0,2403313.0,2476472.0,2554953.0,2639318.0,2728984.0,2822261.0,2916763.0,3010797.0,3103694.0,3196072.0,3289032.0,3384290.0,3483091.0,3585781.0,3691950.0,3801241.0,3913011.0,4026822.0,4142662.0,4260767.0,4381298.0,4504445.0,4630423.0,4759224.0,4890895.0,5025696.0,5163935.0,5305825.0,5451502.0,5600892.0,5753796.0
Burkina Faso,BFA,2371306.0,2409904.0,2448949.0,2488945.0,2530584.0,2574390.0,2620626.0,2669178.0,2719731.0,2771769.0,2824976.0,2879396.0,2935315.0,2993063.0,3053067.0,3115698.0,3180996.0,3249131.0,3320782.0,3396788.0,3477735.0,3563969.0,3655300.0,3751071.0,3850303.0,3952259.0,4056835.0,4164253.0,4274657.0,4388277.0,4505344.0,4625885.0,4750009.0,4878022.0,5010314.0,5147238.0,5289059.0,5435864.0,5587702.0,5744499.0,5906284.0,6073089.0,6245194.0,6423208.0,6607935.0,6799929.0,6999447.0,7206339.0,7420314.0,7640863.0,7867595.0,8100463.0,8339518.0,8584571.0,8835398.0,9091848.0,9353844.0,9621398.0,9894607.0
Bangladesh,BGD,23197890.0,23875151.0,24574532.0,25304782.0,26078348.0,26900716.0,27783598.0,28715321.0,29650407.0,30527419.0,31306019.0,31964503.0,32525509.0,33047609.0,33614296.0,34285669.0,35082895.0,35987838.0,36973559.0,37996438.0,39024734.0,40050218.0,41083938.0,42135706.0,43221620.0,44351875.0,45529369.0,46745004.0,47982721.0,49220547.0,50442765.0,51641226.0,52819913.0,53990016.0,55168817.0,56367926.0,57588825.0,58823890.0,60064488.0,61298312.0,62515230.0,63714125.0,64894106.0,66045699.0,67157681.0,68222788.0,69236415.0,70202281.0,71132144.0,72042882.0,72947245.0,73848927.0,74746041.0,75639021.0,76526762.0,77408385.0,78284398.0,79155678.0,80021785.0
Bulgaria,BGR,3939341.0,3976379.0,4010362.0,4042009.0,4074247.0,4103461.0,4129902.0,4155696.0,4185322.0,4217762.0,4245836.0,4269871.0,4290657.0,4314146.0,4344337.0,4366777.0,4387279.0,4411824.0,4418709.0,4426986.0,4447595.0,4465637.0,4482474.0,4497675.0,4512565.0,4517172.0,4520949.0,4532866.0,4543468.0,4496247.0,4421546.0,4383735.0,4342735.0,4313997.0,4304922.0,4290953.0,4273554.0,4251780.0,4227125.0,4206603.0,4188492.0,4108035.0,4021416.0,3990804.0,3961458.0,3931994.0,3902061.0,3872927.0,3845167.0,3819980.0,3794830.0,3770998.0,3750088.0,3730296.0,3710287.0,3687600.0,3662467.0,3636244.0,3609910.0
Bahrain,BHR,75466.0,77578.0,79459.0,81198.0,82970.0,84896.0,87039.0,89374.0,91921.0,94689.0,97683.0,100888.0,104346.0,108173.0,112539.0,117538.0,123233.0,129531.0,136218.0,142964.0,149533.0,155841.0,161921.0,167852.0,173752.0,179715.0,185776.0,191913.0,198030.0,203998.0,209761.0,215310.0,220764.0,226330.0,232271.0,238801.0,246054.0,254072.0,262923.0,272673.0,283386.0,294857.0,307146.0,320829.0,336653.0,355019.0,376375.0,400194.0,424695.0,447457.0,466811.0,481918.0,493435.0,502985.0,512967.0,525096.0,539952.0,556855.0,574787.0
"Bahamas, The",BHS,57146.0,59785.0,62622.0,65593.0,68609.0,71604.0,74553.0,77441.0,80245.0,82932.0,85478.0,87867.0,90112.0,92235.0,94271.0,96249.0,98177.0,100054.0,101950.0,103928.0,106044.0,108340.0,110779.0,113301.0,115805.0,118184.0,120437.0,122579.0,124673.0,126836.0,129117.0,131559.0,134131.0,136752.0,139315.0,141761.0,144056.0,146233.0,148372.0,150562.0,152875.0,155327.0,157876.0,160552.0,163354.0,166289.0,169372.0,172571.0,175748.0,178743.0,181432.0,183750.0,185745.0,187529.0,189255.0,191040.0,192907.0,194834.0,196797.0
Bosnia and Herzegovina,BIH,1643268.0,1673315.0,1704115.0,1734924.0,1764752.0,1792888.0,1818987.0,1843262.0,1866269.0,1888850.0,1911608.0,1934798.0,1958177.0,1981264.0,2003342.0,2023934.0,2042652.0,2059798.0,2076353.0,2093723.0,2112781.0,2133161.0,2154085.0,2175332.0,2196599.0,2217185.0,2238635.0,2259848.0,2274430.0,2273890.0,2252933.0,2208261.0,2143734.0,2069992.0,2001928.0,1950293.0,1918829.0,1904441.0,1902666.0,1906107.0,1909207.0,1910906.0,1912597.0,1913919.0,1914928.0,1915497.0,1915544.0,1914264.0,1910056.0,1900906.0,1885622.0,1863354.0,1835058.0,1803601.0,1772990.0,1746182.0,1724119.0,1706152.0,1691726.0
