Country,ISO,Sec_cntry,Name,Purpose,Admin_unit,Near_city,River,Main_basin,Sub_basin,Status,PVOUT,PV_surface,PV_spcapacity,Dam_hgt,Res_capacity,Res_area,HPP_elec_cap,Transm_exist,Transm_length,Transm_planned,Proj_type,Lifecycle,Storage_typ,Linked_prj,Proj_cost,Proj_status,Study_status,Proj_yr,Yr_recentstudy,Comission_due,Ann_firm_gen,Ann_tot_gen,Prox_irrig,Size_irrig_area,Owner,Autom_EMS/SCADA, PrivateOwnership_RE,Feed_in_tariff_Solar,Feed_in_tariff _ForeignExchg,Guaranteed_Offtake,Competitive_bidding,Winning_bid _offtake,OtherFiscal _incentives_RE,Prioritized_access_grid_RE,Priority_dispatch,Compensation_IPP_offtake,Compensations_lost_generation,Gov_guarantee_payments,Regulatory_Overview,Download,Long,Lat
Guinea,GIN,,Garafiri,Hydropower,National,,KonkourÃ©,KonkourÃ©,,Operational,1575,,30,81,1600,,80,110,191,,Hydropower,Rehabilitation,Storage,,0,Seeking approvals and funding,,0,0,2000,264,,,,Enelgui,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,RISE Information (http://rise.esmap.org/country/guinea),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-12.66375,10.532917
Mali,MLI,,Sotuba,Hydropower,Koulikoro,Bamako,Niger,Niger River Basin,Niger,Operational since 1929,1633,,51,,,,5,,16.5,,,,,,,,,,,,,,,,Republique du Mali,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/mali),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-7.9253,12.6381
Cote d'Ivoire,CIV,,Ayme II,Hydropower,Sud Comoe,Aboisso,Bia,West Coast,Comoe,Operational since 1964,1299,10,69,35,69,1,30,90,63,,,,,,,,,,,,,,,,Societe Electricite     Cote D' Ivoire,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-3.1611,5.4667
Cote d'Ivoire,CIV,,Ayme I,Hydropower,Sud Comoe,Aboisso,Bia,West Coast,Bia,Operational since 1959,1301,1800,109,30,900,180,20,90,69.7,,,,,,,,,,,,,,,,Societe Electricite     Cote D' Ivoire,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-3.1589,5.5983
Ghana,GHA,,Kpong,Hydropower,Eastern,Accra,Black Volta,West Coast,Volta,Operational since 1981,1380,252,118,20,200,25.2,160,161,88,,Hydropower,Rehabilitation,Run-of-river,,65,Funding approved or under construction,,0,2011,2015,,,,,Volta River Authority,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/ghana),Full Database (https://energydata.info/dataset/hydropower-dams-2018),0.1255,6.1201
Cote d'Ivoire,CIV,,Singrobo,Hydropower,National,,Bandama,Bandama,,Unknown,1359,,135,23.5,220,,44,225,125,,Hydropower,Green fields,Run-of-river,Hydropower,127,Funding approved or under construction,,0,2013,2018,216,288,,,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-4.93723,6.07255
Nigeria,NGA,,Gurara 1,Hydropower,National,,Gurara,Niger,,Operational since 2011,1544,,226,53,880,,30,132,280,,Multipurpose,Green fields,Storage,,30,Funding approved or under construction,,0,0,2015,,115,,,,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,RISE Information (http://rise.esmap.org/country/nigeria),Full Database (https://energydata.info/dataset/hydropower-dams-2018),7.504469,9.596023
Togo,TGO,,Nangbeto,Hydropower,Plateaux,Atakapamï¿½,Mono,West Coast,Mono,Operational since 1987,1457,1800,285,44,1700,180,65,161,226,,Multipurpose,Rehabilitation,Storage,,20,Funding approved or under construction,,0,2011,2015,,172,,,CEB ( Communauté Electrique Benin ),No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,RISE Information (http://rise.esmap.org/country/togo),Full Database (https://energydata.info/dataset/hydropower-dams-2018),1.088889,7.533333
Ghana,GHA,,Akosombo,Hydropower,National,Accra/Tema,Black Volta,West Coast,Volta,Operational since 1965,1404,84822.5,338,113,148000,8482.25,1020,161,751,,Hydropower,Upgrade,Storage,,120,In operation,,1990,2006,0,,,,,Volta River Authority,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/ghana),Full Database (https://energydata.info/dataset/hydropower-dams-2018),0.1,6.35
Mali,MLI,,Grand Kenie,Hydropower,National,,Niger,Niger,,Unknown,1643,,456,0,0,,120,161,45,,Hydropower,Green fields,,,338,Studies,Pre-feasibility,0,0,0,600,,< 50,> 5,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/mali),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-7.12,13.19
Senegal,SEN,Guinea,Sambangalou (OMVG),Hydropower,Sub-regional (multi-national),,Gambia,Gambia,,Under construction,1613,,461,94,3800,,133,225,240,225,Multipurpose,Green fields,Storage,Transmission,333,Seeking approvals and funding,,0,2014,2018,402,,50-200,>5,,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/senegal),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-12.1901,12.3664
Nigeria,NGA,,Jebba,Hydropower,Kwara,Jebba,Niger,Niger River Basin,Niger,Operational since 1984,1466,3600,499,40,3880,360,570,330,16,,Hydropower,Rehabilitation,Storage,,285,Funding approved or under construction,,0,2014,2015,,,,,Nepa,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,RISE Information (http://rise.esmap.org/country/nigeria),Full Database (https://energydata.info/dataset/hydropower-dams-2018),4.789,9.1369
Ghana,GHA,,Bui,Hydropower,National,,Black Volta,Volta,,Operational since 2013,1407,,512,110,12570,,400,161,451,,Multipurpose,Green fields,Storage,,890,In operation,,0,0,2013,,1000,,,Volta River Authority,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/ghana),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-2.1661,8.1822
Benin,BEN,Togo,Adjarala,Hydropower,Sub-regional (multi-national),,Mono,Mono,,Under construction,1351,,681,49.5,630,,147,161,50,,Multipurpose,Green fields,Storage,Transmission,435,Seeking approvals and funding,,1985,2014,2020,264,461,< 50,> 5,CEB ( Communauté Electrique Benin ),No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,RISE information (http://rise.esmap.org/country/benin),Full Database (https://energydata.info/dataset/hydropower-dams-2018),1.605141,6.899374
Cote d'Ivoire,CIV,,Kossou,Hydropower,Marahoue,Yamoussokro,Bandama,West Coast,Bandama,Operational since 1972,1396,17800,873,58,28800,1780,174,225/90,393,,Hydropower,Rehabilitation,Storage,,1.6,Studies,Concept design,0,0,1972,,535,,,Societe Electricite     Cote D' Ivoire,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-5.473889,7.031389
Cote d'Ivoire,CIV,,Buyo,Hydropower,Bas Sassandra,Guiglo,Sassandra,West Coast,Sassandra,Operational since 1980,1426,8950,959,37,8400,895,165,225/90,501,,Hydropower,Rehabilitation,Storage,,1.6,Studies,Concept design,0,0,1980,,900,,,Societe Electricite     Cote D' Ivoire,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-7.345833,6.241111
Nigeria,NGA,,Kainji,Hydropower,Niger,Kainji,Niger,Niger River Basin,Niger,Operational since 1968,1504,12500,1219,85.5,15000,1250,760,330,472,330,Hydropower,Upgrade,Storage,,380,Funding approved or under construction,,0,2014,2019,,,,,National Electric Power Authority,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,RISE Information (http://rise.esmap.org/country/nigeria),Full Database (https://energydata.info/dataset/hydropower-dams-2018),4.6,9.87
Cote d'Ivoire,CIV,,Soubre,Hydropower,Sub-regional (multi-national),,Sassandra,Sassandra,,Planned,1392,,1408,0,0,,295,225,157,225,Hydropower,Green fields,Storage,Hydropower,560,Funding approved or under construction,,0,2014,2017,1170,,,,0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-6.65,5.8
Cote d'Ivoire,CIV,,Taabo,Hydropower,Lagunes,Tiassalï¿½,Bandama,West Coast,Bandama,Operational since 1979,1379,297,2139,34,630,29.7,210,225/90,1171,,Hydropower,Upgrade,Storage,,0,Studies,Concept design,0,0,1979,960,1050,,,Societe Electricite     Cote D' Ivoire,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-5.083889,6.230556
Nigeria,NGA,,Shiroro,Hydropower,Niger,Minna,Kaduna,Niger,Kaduna,Operational since 1984,1510,3120,3597,125,7000,312,600,330/132,1044,330/132,Hydropower,Rehabilitation,Storage,,0,Studies,Pre-feasibility,0,2012,0,,,,,Nepa,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,RISE Information (http://rise.esmap.org/country/nigeria),Full Database (https://energydata.info/dataset/hydropower-dams-2018),6.8347,9.9733
Benin,BEN,,Assante,Hydropower,,,Oueme,,,Incomplete,1382,,,,980,,36,,,,,,,,287,,,,,,,,,,,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,RISE information (http://rise.esmap.org/country/benin),Full Database (https://energydata.info/dataset/hydropower-dams-2018),2.25,8.15
Benin,BEN,,Batchanga,Hydropower,,,Oti,,,Incomplete,1575,,,,350,,15,,,,,,,,75,,,,,,,,,,,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,RISE information (http://rise.esmap.org/country/benin),Full Database (https://energydata.info/dataset/hydropower-dams-2018),1.8027,11.2077
Benin,BEN,,Ketou,Hydropower,National,,Oueme,Oueme,,Unknown,1324,,,0,1550,,160,161,40,,Hydropower,Green fields,,,302,Studies,Concept design,0,1992,0,,490,50-200,> 5,0,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,RISE information (http://rise.esmap.org/country/benin),Full Database (https://energydata.info/dataset/hydropower-dams-2018),2.421,7.485
Benin,BEN,,Dogo Bis,Hydropower,National,,Oueme,Oueme,,Planned,1344,,,0,1550,,108,161,50,,Hydropower,Green fields,,,337,Seeking approvals and funding,,0,2013,0,,237,50-200,> 5,,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,RISE information (http://rise.esmap.org/country/benin),Full Database (https://energydata.info/dataset/hydropower-dams-2018),2.47,7.64
Benin,BEN,,Olougbe,Hydropower,,,Oueme,,,Incomplete,1434,,,,1250,,42,,,,,,,,210,,,,,,,,,,,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,RISE information (http://rise.esmap.org/country/benin),Full Database (https://energydata.info/dataset/hydropower-dams-2018),2.2606,8.7959
Benin,BEN,,Vossa,Hydropower,National,,Oueme,Oueme,,Planned,1397,,,0,0,,79,161,150,,Hydropower,Green fields,Storage,,0,Studies,Feasibility,0,2014,0,212,,< 50,> 5,,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,RISE information (http://rise.esmap.org/country/benin),Full Database (https://energydata.info/dataset/hydropower-dams-2018),2.26,8.496
Burkina Faso,BFA,,Bagre,Hydropower,Boulgou,Bagre,Nakambe (White Volta),,,Operational since 1992,1601,2570,,41,3.5,257,16,,,,,,,,,,,,,,,,,,Public,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,RISE information (http://rise.esmap.org/country/burkina-faso),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-0.546,11.475
Burkina Faso,BFA,,Diebuugo,Hydropower,,,,,,Incomplete,1589,,,,,,15,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,RISE information (http://rise.esmap.org/country/burkina-faso),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-3.2495,10.9542
Burkina Faso,BFA,,Kompienga,Hydropower,Gourma,Kompienga,Ouale,West Coast,Oti,Operational since 1988,1568,,,50,1400,,15,,,,,,,,,,,,,,,,,,Société Nationale d'Électricité du Burkina (SONABEL),Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,RISE information (http://rise.esmap.org/country/burkina-faso),Full Database (https://energydata.info/dataset/hydropower-dams-2018),0.7,11.07
Burkina Faso,BFA,Ghana,Noumbiel,Hydropower,Sub-regional (multi-national),,Mouhoun,Volta,,Planned,1513,,,0,2950,,62,161,35,,Multipurpose,Green fields,Storage,,286,Studies,Feasibility,0,1987,0,203,392,< 50,> 5,,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,RISE information (http://rise.esmap.org/country/burkina-faso),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-2.7913,9.7427
Cote d'Ivoire,CIV,,Bouloubre,Hydropower,National,,Sassandra,Sassandra,,Unknown,1368,,,33,1500,,156,225,15,,Hydropower,Green fields,Storage,,862,Studies,Concept design,1979,2013,0,688,908,,,,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-6.483732,5.545372
Cote d'Ivoire,CIV,,Brou-Attakro,Hydropower,National,,Comoe,Comoe,,Unknown,1337,,,0,10800,,90,90,5,,Hydropower,Green fields,Storage,,848,Studies,Concept design,1979,2013,0,,301,50-200,1-5,,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-3.8,6.68333
Cote d'Ivoire,CIV,,Daboitie,Hydropower,National,,Bandama,Bandama,,Unknown,1353,,,0,390,,91,225,5,,Hydropower,Green fields,Run-of-river,,466,Studies,Concept design,1979,2013,0,529,319,,,,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-4.84746,5.953632
Cote d'Ivoire,CIV,,Gribo Popoli,Hydropower,National,,Sassandra,Sassandra,,Unknown,1385,,,0,130,,112,225,5,,Hydropower,Green fields,Run-of-river,,628,Studies,Concept design,1979,2013,0,476,618,,,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-6.577084,5.721842
Cote d'Ivoire,CIV,,Kokumbo,Hydropower,National,,Bandama,Bandama,,Unknown,1355,,,0,930,,78,225,15,,Hydropower,Green fields,Run-of-river,,435,Studies,Concept design,1979,2013,0,,253,< 50,< 1,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-5.31667,6.58333
Cote d'Ivoire,CIV,,Louga,Hydropower,Sub-regional (multi-national),,Sassandra,Sassandra,,Unknown,1310,,,0,4700,,280,225,55,,Hydropower,Green fields,Storage,,1187,Studies,Concept design,1979,2013,0,1067,1431,,,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-6.2167,5.05
Cote d'Ivoire,CIV,,Malamalasso,Hydropower,National,,Sassandra,Comoe,,Unknown,1297,,,0,60,,90,225,40,,Hydropower,Green fields,Run-of-river,,405,Studies,Concept design,1979,2013,0,,415,,,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-3.43326,5.76704
Cote d'Ivoire,CIV,,Ndieliesso,Hydropower,National,,Sassandra,Comoe,,Unknown,1311,,,0,6000,,100,225,60,,Hydropower,Green fields,Storage,,648,Studies,Concept design,1979,2013,0,,435,< 50,1-5,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-3.424722,5.941111
Cote d'Ivoire,CIV,,San Pedro,Hydropower,Bas Sassandra,San Pedro,San Pedro,West Coast,Sassandra,Operational since 1980,1387,,,15,25,,4,225,,,,,,,,,,,,,,,,,0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-6.675,6
Cote d'Ivoire,CIV,,Tayaboui,Hydropower,National,,Sassandra,Sassandra,,Planned,1446,,,0,9000,,100,,,,Hydropower,Green fields,Storage,,1263,Studies,Pre-feasibility,1979,2013,0,595,653,,,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-7.06667,7.1
Cote d'Ivoire,CIV,,Tiassale,Hydropower,National,,Bandama,Bandama,,Unknown,1349,,,0,28,,51,225,15,,Hydropower,Green fields,Run-of-river,Hydropower,307,Studies,Concept design,1979,2013,0,,150,,,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-4.81667,5.9
Cote d'Ivoire,CIV,Liberia,Tiboto,Hydropower,Sub-regional (multi-national),,Cavally,Cavally,,Unknown,1352,,,0,0,,225,225,105,,Hydropower,Green fields,Storage,Transmission,578,Studies,Pre-feasibility,0,2014,0,912,1200,,,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-7.58,4.85
Ghana,GHA,,Abaumesu,Hydropower,National,,Pra,Pra,,Unknown,1315,,,0,0,,63,,,,Hydropower,Green fields,Run-of-river,Hydropower,162,Studies,Concept design,0,0,0,,233,,,,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/ghana),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-1.63521,5.38428
Ghana,GHA,,Asuoso,Hydropower,,,Tano,,,Unknown,1302,,,,,,25,,,,,,,,150,,,,,,,129,,,,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/ghana),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-1.9,5.25
Ghana,GHA,,Awisam,Hydropower,National,,Pra,Pra,,Planned,1349,,,34,0,,88,161,5,,Hydropower,Green fields,Storage,,174,Studies,Pre-feasibility,0,1994,0,,205,,,,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/ghana),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-0.976729,6.52776
Ghana,GHA,,Heman,Hydropower,National,,Pra,Pra,,Unknown,1341,,,34,46,,60,161,64,,Hydropower,Green fields,Run-of-river,,307,Funding approved or under construction,,0,1994,2016,,216,,,,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/ghana),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-1.56,5.18
Ghana,GHA,,Jambilo,Hydropower,National,,Black Volta,Volta,,Unknown,1455,,,0,760,,55,161,30,,Hydropower,Green fields,Storage,Hydropower,0,Studies,Concept design,0,0,0,,,50-200,1-5,,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/ghana),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-1.712733,8.633633
Ghana,GHA,,Jomuro,Hydropower,,,Tano,,,Unknown,1336,,,,,,20,,,,,,,,,,,,,,,85,,,,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/ghana),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-2.6797,5.7724
Ghana,GHA,,Juale,Hydropower,National,,Oti,Volta,,Planned,1438,,,40,7200,,87,161,85,,Multipurpose,Green fields,Storage,,372,Studies,Pre-feasibility,0,1993,0,,405,,,,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/ghana),Full Database (https://energydata.info/dataset/hydropower-dams-2018),0.1167,8.6833
Ghana,GHA,,Kojokrom,Hydropower,,,Pra,,,Unknown,1352,,,,,,30,,,,,,,,,,,,,,,136,,,,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/ghana),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-2.5777,6.2152
Ghana,GHA,,Lanka,Hydropower,National,,Black Volta,Volta,,Unknown,1436,,,0,0,,95,330,20,,Hydropower,Green fields,Run-of-river,Hydropower,0,Studies,Concept design,0,0,0,,319,,,,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/ghana),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-2.28,8.4
Ghana,GHA,,Ntereso,Hydropower,National,,Black Volta,Volta,,Unknown,1436,,,0,1370,,64,161,15,,Hydropower,Green fields,Storage,Hydropower,0,Studies,Concept design,0,0,0,,257,,,,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/ghana),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-2.4,8.56
Ghana,GHA,,Pwalugu,Hydropower,National,,White Volta,Volta,,Planned,1552,,,50,3260,,56,161,17,,Multipurpose,Green fields,Storage,,372,Studies,Feasibility,0,2015,2023,,150,< 50,> 5,,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/ghana),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-0.8589,10.605
Ghana,GHA,,Sodukrom,Hydropower,,,Tano,,,Unknown,1338,,,,,,56,,,,,,,,,,,,,,,259,,,,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/ghana),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-2.5667,5.9833
Ghana,GHA,,Tanoso,Hydropower,National,,Tano,Tano,,Planned,1290,,,34.7,0,,56,,,,Hydropower,Green fields,Run-of-river,Hydropower,0,Studies,Concept design,0,0,0,,,,,,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/ghana),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-2.66,5.366
Guinea,GIN,,Amaria,Hydropower,Sub-regional (multi-national),,KonkourÃ©,KonkourÃ©,,Planned,1510,,,35,0,,300,225,43,,Hydropower,Green fields,Run-of-river,Hydropower,611,Studies,Concept design,1970,1983,2021,1057,1435,< 50,> 5,,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,RISE Information (http://rise.esmap.org/country/guinea),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-13.6015,10.244
Guinea,GIN,,Balassa,Hydropower,Sub-regional (multi-national),,Bafing,Senegal,,Planned,1622,,,0,1265,,181,225,40,,Multipurpose,Green fields,Storage,,171,Studies,Pre-feasibility,0,0,0,401,470,50-200,1-5,,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,RISE Information (http://rise.esmap.org/country/guinea),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-11.73507,10.62532
Guinea,GIN,,Banieya,Hydropower,Kindia,Kindia,Samou,West Coast,Konkoure,Operational since 1969,1534,280,,30,223,28,5.2,,,,,,,,,,,,,,,,,,Electricité de Guinée (EDG),No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,RISE Information (http://rise.esmap.org/country/guinea),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-12.9972,9.9583
Guinea,GIN,,Bonkon Diara,Hydropower,Sub-regional (multi-national),,Kakrima,KonkourÃ©,,Unknown,1617,,,0,0,,174,225,120,,Hydropower,Green fields,Storage,,211,Studies,Concept design,0,0,2025,315,451,,,,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,RISE Information (http://rise.esmap.org/country/guinea),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-12.6,11.328
Guinea,GIN,,Boureya,Hydropower,Sub-regional (multi-national),,Bafing,Senegal,,Planned,1629,,,64,5500,,120,225,120,,Multipurpose,Green fields,Storage,Hydropower,373,Studies,Feasibility,0,2011,2021,455,717,,,,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,RISE Information (http://rise.esmap.org/country/guinea),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-10.75,11.716667
Guinea,GIN,,Diaoya,Hydropower,Sub-regional (multi-national),,Bafing,Senegal,,Planned,1637,,,0,0,,149,225,40,,Hydropower,Green fields,Run-of-river,Hydropower,332,Studies,Concept design,0,0,2020,389,581,,,,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,RISE Information (http://rise.esmap.org/country/guinea),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-11.1207,11.5002
Guinea,GIN,,Diareguela,Hydropower,Sub-regional (multi-national),,Niger,Niger,,Planned,1599,,,0,2784,,72,225,220,,Multipurpose,Green fields,Storage,,189,Studies,Concept design,1983,1983,0,298,400,50-200,> 5,,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,RISE Information (http://rise.esmap.org/country/guinea),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-10.066,10.544
Guinea,GIN,,Digan,Hydropower,National,,Gambia,Gambia,,Planned,1648,,,62,337,,93,225,175,,Hydropower,Green fields,Run-of-river,Hydropower,112,Studies,Pre-feasibility,0,2010,0,24,243,,,,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,RISE Information (http://rise.esmap.org/country/guinea),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-11.8333,11.8508
