Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Azerbaijan,AZE,1863218.0,1932009.0,2003976.0,2077304.0,2149589.0,2219059.0,2285018.0,2347681.0,2407312.0,2464554.0,2519910.0,2573349.0,2624772.0,2674695.0,2723756.0,2772483.0,2821125.0,2869759.0,2918474.0,2967305.0,3016296.0,3065464.0,3114933.0,3165023.0,3216106.0,3268401.0,3321886.0,3376315.0,3431348.0,3486550.0,3500489.0,3553815.0,3606982.0,3661399.0,3710633.0,3753172.0,3790889.0,3827454.0,3864371.0,3899994.0,3935204.0,3970493.0,4006311.0,4043667.0,4086139.0,4134503.0,4185803.0,4238519.0,4333036.0,4428396.0,4485924.0,4549357.0,4614743.0,4679119.0,4741751.0,4801853.0,4858482.0,4908478.0,4954079.0
Burundi,BDI,1350597.0,1377968.0,1405526.0,1434199.0,1465224.0,1499318.0,1537388.0,1578711.0,1620403.0,1658520.0,1690455.0,1714971.0,1733577.0,1749886.0,1769026.0,1794735.0,1828278.0,1868669.0,1914670.0,1964106.0,2015394.0,2067953.0,2122266.0,2179052.0,2239445.0,2303977.0,2372981.0,2445375.0,2518615.0,2589309.0,2655013.0,2715527.0,2771601.0,2823073.0,2870024.0,2913046.0,2951520.0,2986839.0,3024159.0,3070249.0,3129988.0,3205485.0,3295548.0,3397584.0,3507425.0,3621898.0,3740532.0,3864123.0,3992143.0,4124231.0,4260120.0,4399226.0,4541436.0,4687557.0,4838812.0,4995978.0,5159294.0,5328222.0,5501831.0
Belgium,BEL,4503524.0,4517094.0,4533442.0,4565624.0,4607152.0,4647323.0,4677048.0,4701444.0,4718271.0,4729870.0,4732626.0,4739202.0,4755653.0,4768512.0,4781582.0,4793742.0,4800959.0,4805831.0,4809540.0,4813315.0,4818261.0,4817946.0,4816634.0,4816431.0,4816750.0,4818768.0,4821284.0,4826362.0,4842768.0,4861369.0,4876707.0,4895500.0,4915880.0,4935471.0,4950976.0,4961594.0,4971479.0,4983657.0,4994557.0,5006580.0,5019740.0,5038558.0,5063146.0,5086571.0,5110738.0,5140743.0,5176328.0,5215888.0,5258411.0,5301687.0,5350771.0,5420635.0,5453712.0,5479370.0,5505482.0,5541882.0,5577545.0,5609172.0,5643524.0
Benin,BEN,1156653.0,1174505.0,1193682.0,1214260.0,1236327.0,1259940.0,1285185.0,1312016.0,1340314.0,1369845.0,1400497.0,1432232.0,1465180.0,1499542.0,1535628.0,1573664.0,1613797.0,1656027.0,1700363.0,1746755.0,1795186.0,1845824.0,1898838.0,1954270.0,2012142.0,2072577.0,2135321.0,2200613.0,2269539.0,2343544.0,2423543.0,2510181.0,2602819.0,2699502.0,2797457.0,2894761.0,2990565.0,3085567.0,3181233.0,3279808.0,3382860.0,3490952.0,3603444.0,3719314.0,3836993.0,3955403.0,4074235.0,4194026.0,4315623.0,4440263.0,4568836.0,4701606.0,4838353.0,4978892.0,5122907.0,5270127.0,5420565.0,5574312.0,5731252.0
Burkina Faso,BFA,2457982.0,2484676.0,2511377.0,2538876.0,2568306.0,2600480.0,2635737.0,2673841.0,2714310.0,2756405.0,2799624.0,2843985.0,2889858.0,2937420.0,2986974.0,3038847.0,3093041.0,3149804.0,3210037.0,3274868.0,3345108.0,3421191.0,3502955.0,3589834.0,3680939.0,3775648.0,3873859.0,3975820.0,4081648.0,4191546.0,4305690.0,4424199.0,4547104.0,4674454.0,4806274.0,4942640.0,5083686.0,5229682.0,5381022.0,5538202.0,5701658.0,5871498.0,6047906.0,6231413.0,6422634.0,6622001.0,6829729.0,7045682.0,7269411.0,7500235.0,7737622.0,7981448.0,8231728.0,8488204.0,8750619.0,9018776.0,9292534.0,9571886.0,9856928.0
Bangladesh,BGD,24815614.0,25487692.0,26177625.0,26897225.0,27663368.0,28484396.0,29374056.0,30318928.0,31268047.0,32152346.0,32926463.0,33567130.0,34100196.0,34589921.0,35127937.0,35780632.0,36569486.0,37475746.0,38476473.0,39532607.0,40614757.0,41717297.0,42848189.0,44006789.0,45194901.0,46412308.0,47658234.0,48926159.0,50203629.0,51474950.0,52729191.0,53957901.0,55163791.0,56360623.0,57568866.0,58802004.0,60061107.0,61336674.0,62618327.0,63891339.0,65142624.0,66374577.0,67583980.0,68745904.0,69828751.0,70812717.0,71684752.0,72458095.0,73172023.0,73881915.0,74628185.0,75424851.0,76261766.0,77125655.0,77993405.0,78847891.0,79686442.0,80514915.0,81334254.0
Bulgaria,BGR,3928033.0,3966739.0,4002584.0,4036136.0,4070093.0,4100707.0,4128155.0,4154530.0,4184281.0,4216410.0,4243738.0,4266524.0,4285543.0,4306821.0,4334408.0,4353965.0,4371320.0,4392359.0,4395323.0,4398954.0,4413940.0,4425480.0,4434983.0,4442063.0,4448114.0,4443375.0,4437222.0,4438493.0,4437978.0,4380725.0,4296743.0,4248632.0,4197429.0,4158316.0,4138669.0,4115114.0,4089272.0,4060288.0,4029661.0,4004021.0,3981680.0,3901107.0,3815745.0,3784523.0,3755402.0,3726978.0,3698961.0,3672411.0,3647394.0,3624463.0,3600769.0,3577330.0,3555800.0,3534819.0,3513651.0,3490391.0,3465355.0,3439703.0,3414306.0
Bahrain,BHR,86961.0,90316.0,93685.0,96942.0,99917.0,102535.0,104741.0,106689.0,108732.0,111354.0,114922.0,119424.0,124809.0,131354.0,139372.0,149005.0,160519.0,173644.0,187255.0,199835.0,210355.0,218279.0,224029.0,228602.0,233473.0,239713.0,247704.0,257058.0,267168.0,277089.0,286170.0,294450.0,302322.0,309880.0,317312.0,324896.0,332612.0,340859.0,350777.0,363868.0,381225.0,402688.0,428000.0,457879.0,493191.0,534145.0,582043.0,635725.0,689946.0,737619.0,774049.0,796233.0,806508.0,812044.0,823108.0,846755.0,885839.0,937219.0,994652.0
"Bahamas, The",BHS,52388.0,55336.0,58469.0,61746.0,65100.0,68455.0,71829.0,75179.0,78403.0,81336.0,83899.0,86022.0,87754.0,89282.0,90849.0,92647.0,94732.0,97047.0,99528.0,102056.0,104547.0,106986.0,109405.0,111783.0,114118.0,116394.0,118580.0,120692.0,122778.0,124897.0,127106.0,129449.0,131898.0,134317.0,136531.0,138423.0,139922.0,141125.0,142225.0,143500.0,145176.0,147291.0,149784.0,152577.0,155540.0,158570.0,161661.0,164818.0,167933.0,170861.0,173510.0,175827.0,177839.0,179639.0,181378.0,183166.0,185024.0,186927.0,188843.0
Bosnia and Herzegovina,BIH,1582400.0,1615288.0,1649111.0,1682650.0,1714245.0,1742755.0,1767649.0,1789410.0,1809185.0,1828618.0,1848921.0,1870489.0,1892976.0,1915992.0,1938883.0,1961171.0,1982614.0,2003395.0,2023996.0,2045096.0,2067074.0,2089310.0,2111100.0,2132573.0,2153978.0,2174946.0,2197282.0,2219671.0,2235031.0,2233934.0,2210490.0,2161058.0,2089942.0,2008945.0,1934596.0,1878757.0,1845596.0,1831629.0,1831671.0,1837247.0,1841969.0,1844606.0,1846790.0,1848254.0,1849266.0,1849834.0,1849880.0,1848522.0,1844215.0,1835032.0,1819850.0,1797821.0,1769914.0,1739004.0,1709114.0,1683179.0,1662148.0,1645375.0,1632203.0
